"AppReturnDate","rep","dem","other"
2024-02-22,1,0,0
2024-02-23,1,2,0
2024-04-10,1,4,0
2024-04-17,3,8,0
2024-04-22,3,11,0
2024-05-07,7,14,0
2024-07-02,14,18,111
2024-07-03,45,35,209
2024-07-04,52,57,209
2024-07-05,52,57,209
2024-07-06,52,57,209
2024-07-07,52,57,209
2024-07-08,64,76,211
2024-07-09,64,76,211
2024-07-10,64,76,211
2024-07-11,64,76,211
2024-07-12,64,76,211
2024-07-13,64,76,211
2024-07-14,64,76,211
2024-07-15,64,76,211
2024-07-16,64,76,211
2024-07-17,85,96,216
2024-07-18,100,114,216
2024-07-19,716,1256,234
2024-07-20,913,2090,262
2024-07-21,913,2090,262
2024-07-22,913,2090,262
2024-07-23,913,2090,262
2024-07-24,913,2090,262
2024-07-25,913,2090,262
2024-07-26,1002,2166,266
2024-07-27,1007,2205,273
2024-07-28,1007,2205,273
2024-07-29,1007,2205,273
2024-07-30,1007,2205,273
2024-07-31,1008,2205,273
2024-08-01,1015,2257,293
2024-08-02,1026,2267,293
2024-08-03,1026,2267,293
2024-08-04,1026,2267,293
2024-08-05,1096,2377,304
2024-08-06,1234,2511,307
2024-08-07,1339,2631,308
2024-08-08,1394,2712,321
2024-08-09,1460,2779,322
2024-08-10,1460,2779,322
2024-08-11,1524,2839,333
2024-08-12,1524,2839,333
2024-08-13,1524,2839,333
2024-08-14,1629,2940,343
2024-08-15,1901,3166,356
2024-08-16,2091,3337,356
2024-08-17,2091,3337,356
2024-08-18,2144,3377,360
2024-08-19,2334,3573,369
2024-08-20,2458,3739,382
2024-08-21,2485,3971,411
2024-08-22,2526,4508,474
2024-08-23,2560,4623,494
2024-08-24,2560,4623,494
2024-08-25,2560,4623,494
2024-08-26,2639,4869,536
2024-08-27,2826,5150,621
2024-08-28,2903,5527,662
2024-08-29,3014,5667,781
2024-08-30,3014,5667,781
2024-08-31,3042,5688,788
2024-09-01,3043,5688,790
2024-09-02,3116,5796,821
2024-09-03,3330,6040,923
2024-09-04,5089,8492,1165
2024-09-05,5558,10008,1342
2024-09-06,6914,12011,1645
2024-09-07,6974,12220,1672
2024-09-08,6974,12222,1673
2024-09-09,7028,12297,1712
2024-09-10,7255,12727,1831
2024-09-11,7397,12925,1891
2024-09-12,8353,15735,2534
2024-09-13,8681,16602,2697
2024-09-14,8686,16605,2702
2024-09-15,8707,16630,2710
2024-09-16,9169,17482,2939
2024-09-17,11206,21106,4074
2024-09-18,11568,22209,4280
2024-09-19,12652,23870,4845
2024-09-20,14918,28870,6323
2024-09-21,16494,34591,8010
2024-09-22,16725,34922,8108
2024-09-23,54695,163630,28776
2024-09-24,55467,164606,29122
2024-09-25,56744,166577,29687
2024-09-26,89305,233952,48878
2024-09-27,105429,286896,51831
2024-09-28,108866,290853,52568
2024-09-29,108976,291114,52629
2024-09-30,179151,604644,91710
2024-10-01,202780,684100,104782
2024-10-02,224013,765236,115501
2024-10-03,226403,769659,116749
2024-10-04,247528,868329,126552
2024-10-05,305167,1015264,149219
2024-10-06,306467,1018547,149843
2024-10-07,337633,1087221,160819
2024-10-08,403654,1222418,181898
2024-10-09,454918,1312811,199523
2024-10-10,492261,1381097,213427
2024-10-11,510194,1410371,219109
2024-10-12,528215,1462385,231037
2024-10-13,529252,1464927,231534
2024-10-14,571202,1554953,251085
2024-10-15,595182,1587410,260568
2024-10-16,606839,1610799,266124
2024-10-17,616155,1622950,269664
2024-10-18,629759,1644055,276881
2024-10-19,637802,1668283,282429
2024-10-20,641284,1675823,284822
2024-10-21,671116,1743863,300017
2024-10-22,682696,1765118,306166
2024-10-23,695591,1782343,312596
2024-10-24,705819,1803246,318457
2024-10-25,720786,1823650,326699
2024-10-26,732320,1850276,334006
2024-10-27,737323,1858570,336595
2024-10-28,749926,1884542,344243
2024-10-29,764145,1908932,351642
2024-10-30,777987,1925796,358738
2024-10-31,779513,1928955,359583
2024-11-01,780376,1930126,359864
2024-11-02,780637,1930553,359953
2024-11-03,780884,1932684,360228
2024-11-04,781999,1934977,360677
2024-11-05,782630,1935879,360868
2024-11-06,782698,1935904,360879
2024-11-07,782740,1935923,360888
