"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-05,10299,2226,370,2110,382,2167,6022,1474
2024-07-12,12199,2719,496,2454,459,2670,7075,1764
2024-07-19,14790,3262,517,2636,684,3906,8248,2061
2024-07-26,21155,5432,1491,5554,813,4337,11264,3128
2024-08-02,18525,4393,1048,4749,749,3806,9970,2596
2024-08-09,17459,4164,949,4388,662,3557,9514,2553
2024-08-16,17502,4496,1092,4348,718,3612,9542,2686
2024-08-23,18409,4767,1187,5053,768,4124,9232,2812
2024-08-30,23909,6242,1383,5944,802,4851,13114,4057
2024-09-06,19287,4897,1048,4770,730,4392,10125,3119
2024-09-13,28461,7087,1743,7546,1190,7106,13809,4154
2024-09-20,20561,5314,1394,5407,1068,5622,9532,2852
