day,year,month,dem,rep,non,lib
2020-01-01,2020,1,152697,161288,105819,6155
2020-02-01,2020,2,152705,161266,105975,6139
2020-03-01,2020,3,153248,161312,106135,6141
2020-04-01,2020,4,154756,161523,106317,6161
2020-05-01,2020,5,155673,161998,106409,6162
2020-06-01,2020,6,155625,161981,106320,6149
2020-07-01,2020,7,156947,162748,107320,6244
2020-08-01,2020,8,157561,163008,108198,6333
2020-09-01,2020,9,159102,164254,109227,6525
2020-10-01,2020,10,161288,166430,110133,6865
2020-11-01,2020,11,163857,168614,111244,7148
2020-12-01,2020,12,163907,168774,111191,7174
2024-01-01,2024,1,141711,152363,100868,6411
2024-02-01,2024,2,141483,153016,101270,6398
2024-03-01,2024,3,141262,153254,101502,6387
2024-04-01,2024,4,141183,153422,101715,6371
2024-05-01,2024,5,141327,154100,102322,6367
2024-06-01,2024,6,141273,154109,102263,6362
2024-07-01,2024,7,141129,154644,102944,6368
2024-08-01,2024,8,141336,155059,103306,6343
2024-09-01,2024,9,141482,155048,103276,6310
